RestaurantName,RestaurantURL,CuisineType
Haagen Dazs,https://www.zomato.com/chennai/haagen-dazs-nungambakkam?zrp_bid=0&zrp_pid=14,"Ice Cream, Desserts, Beverages"
MKC - Madras Kitchen Company,https://www.zomato.com/chennai/mkc-madras-kitchen-company-velachery?zrp_bid=0&zrp_pid=14,"Cafe, Asian, North Indian, Desserts, Beverages"
Southern Spice - Taj Coromandel,https://www.zomato.com/chennai/southern-spice-taj-coromandel-nungambakkam?zrp_bid=0&zrp_pid=14,South Indian
SpiceKlub,https://www.zomato.com/chennai/spiceklub-nungambakkam?zrp_bid=0&zrp_pid=14,"North Indian, Desserts, Beverages"
The Sandwich Shop,https://www.zomato.com/chennai/the-sandwich-shop-west-mambalam?zrp_bid=0&zrp_pid=14,"Sandwich, Fast Food, Beverages, Shake, Sichuan"
J.Hind - Grand By GRT Hotels,https://www.zomato.com/chennai/j-hind-grand-by-grt-hotels-t-nagar?zrp_bid=0&zrp_pid=14,"North Indian, Mughlai, South Indian, Beverages"
Savya Rasa,https://www.zomato.com/chennai/savya-rasa-kotturpuram?zrp_bid=0&zrp_pid=14,"Chettinad, Andhra, Kerala, Mangalorean, South Indian"
ID,https://www.zomato.com/chennai/id-royapettah?zrp_bid=0&zrp_pid=14,"South Indian, Beverages, Shake"
Bombay Brasserie,https://www.zomato.com/chennai/restaurants/bombay-brasserie?zrp_bid=0&zrp_pid=14,"Modern Indian, Bar Food, Beverages"
The Marina,https://www.zomato.com/chennai/the-marina-thousand-lights?zrp_bid=0&zrp_pid=14,"Seafood, North Indian, Chinese, South Indian, Desserts"
Andhikkadai,https://www.zomato.com/chennai/andhikkadai-velachery?zrp_bid=0&zrp_pid=14,"South Indian, Beverages, Shake"
Mezze,https://www.zomato.com/chennai/mezze-alwarpet?zrp_bid=0&zrp_pid=14,"Middle Eastern, Continental, Beverages, Fast Food"
Mainland China,https://www.zomato.com/chennai/mainland-china-velachery?zrp_bid=0&zrp_pid=14,"Chinese, Momos, Thai, Asian, Seafood, Sushi, Beverages, Desserts"
Bombay Kulfi,https://www.zomato.com/chennai/restaurants/bombay-kulfi?zrp_bid=0&zrp_pid=14,"Desserts, Ice Cream"
Shyam's Bombay Halwa House,https://www.zomato.com/chennai/shyams-bombay-halwa-house-t-nagar?zrp_bid=0&zrp_pid=14,"North Indian, Chinese, Fast Food, Beverages, Shake"
Pumpkin Tales,https://www.zomato.com/chennai/pumpkin-tales-abhiramapuram?zrp_bid=0&zrp_pid=14,"Singaporean, Thai, Continental, Bakery, Desserts"
Spectra - The Leela Palace,https://www.zomato.com/chennai/spectra-the-leela-palace-mrc-nagar?zrp_bid=0&zrp_pid=14,"North Indian, Asian, Mediterranean, Continental, Italian"
Fusilli Reasons,https://www.zomato.com/chennai/fusilli-reasons-kilpauk?zrp_bid=0&zrp_pid=14,"Fast Food, Pasta, Beverages"
North East Kitchen,https://www.zomato.com/chennai/north-east-kitchen-egmore?zrp_bid=0&zrp_pid=14,"Chinese, Konkan, Momos, Seafood, Sichuan"
